date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:21:55	1442/1442	---M--	200	added ('OK')	image/png	etag:%2214d809ae-5a2-596f453393d00%22	http://yp.jyc.co.in/images/prettyPhoto/light_square/btnPrevious.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/light_square/btnPrevious.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:55	478086/478086	---M--	200	added ('OK')	application/pdf	etag:%2214d806cd-74b86-596f44d24d780%22	http://yp.jyc.co.in/downloads/rules.pdf	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/downloads/rules.pdf	(from http://yp.jyc.co.in/)
17:21:55	4227/4227	---M--	200	added ('OK')	image/png	etag:%2214d80999-1083-596f453b34f00%22	http://yp.jyc.co.in/images/prettyPhoto/facebook/sprite.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/facebook/sprite.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:56	142/142	---M--	200	added ('OK')	image/png	etag:%2214d80993-8e-596f45394ca80%22	http://yp.jyc.co.in/images/prettyPhoto/facebook/contentPatternTop.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/facebook/contentPatternTop.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:56	137/137	---M--	200	added ('OK')	image/png	etag:%2214d8098c-89-596f453764600%22	http://yp.jyc.co.in/images/prettyPhoto/facebook/contentPatternLeft.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/facebook/contentPatternLeft.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:58	136/136	---M--	200	added ('OK')	image/png	etag:%2214d8098e-88-596f453764600%22	http://yp.jyc.co.in/images/prettyPhoto/facebook/contentPatternRight.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/facebook/contentPatternRight.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:58	2545/2545	---M--	200	added ('OK')	image/gif	etag:%2214d80997-9f1-596f45394ca80%22	http://yp.jyc.co.in/images/prettyPhoto/facebook/loader.gif	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/facebook/loader.gif	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:59	845/845	---M--	200	added ('OK')	image/png	etag:%2214d8097d-34d-596f453764600%22	http://yp.jyc.co.in/images/prettyPhoto/facebook/btnNext.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/facebook/btnNext.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:59	828/828	---M--	200	added ('OK')	image/png	etag:%2214d80981-33c-596f453764600%22	http://yp.jyc.co.in/images/prettyPhoto/facebook/btnPrevious.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/facebook/btnPrevious.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:59	142/142	---M--	200	added ('OK')	image/png	etag:%2214d80984-8e-596f453764600%22	http://yp.jyc.co.in/images/prettyPhoto/facebook/contentPatternBottom.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/facebook/contentPatternBottom.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:22:00	227/227	---M--	200	added ('OK')	image/gif	etag:%2214d80995-e3-596f45394ca80%22	http://yp.jyc.co.in/images/prettyPhoto/facebook/default_thumbnail.gif	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/facebook/default_thumbnail.gif	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:22:00	2545/2545	---M--	200	added ('OK')	image/gif	etag:%2214d809a5-9f1-596f45357c180%22	http://yp.jyc.co.in/images/prettyPhoto/light_rounded/loader.gif	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/light_rounded/loader.gif	(from http://yp.jyc.co.in/css/prettyPhoto.css)
